datetime,location,depth_m,temp_degC
2024-06-19 23:30:00,Kipawa,1.5,22.305429687500002
2024-06-20 00:00:00,Kipawa,1.5,22.434130859374996
2024-06-20 00:30:00,Kipawa,1.5,22.176728515624994
2024-06-20 01:00:00,Kipawa,1.5,22.090927734374993
2024-06-20 01:30:00,Kipawa,1.5,22.21962890625
2024-06-20 02:00:00,Kipawa,1.5,22.434130859374996
2024-06-20 02:30:00,Kipawa,1.5,22.305429687500002
2024-06-20 03:00:00,Kipawa,1.5,22.176728515624994
2024-06-20 03:30:00,Kipawa,1.5,22.005126953124993
2024-06-20 04:00:00,Kipawa,1.5,21.74772460937499
2024-06-20 04:30:00,Kipawa,1.5,21.790625
2024-06-20 05:00:00,Kipawa,1.5,21.74772460937499
2024-06-20 05:30:00,Kipawa,1.5,21.74772460937499
2024-06-20 06:00:00,Kipawa,1.5,21.447421874999996
2024-06-20 06:30:00,Kipawa,1.5,21.447421874999996
2024-06-20 07:00:00,Kipawa,1.5,21.447421874999996
2024-06-20 07:30:00,Kipawa,1.5,21.490322265625004
2024-06-20 08:00:00,Kipawa,1.5,21.361621093749996
2024-06-20 08:30:00,Kipawa,1.5,21.232919921875002
2024-06-20 09:00:00,Kipawa,1.5,21.232919921875002
2024-06-20 09:30:00,Kipawa,1.5,21.232919921875002
2024-06-20 10:00:00,Kipawa,1.5,21.061318359375
2024-06-20 10:30:00,Kipawa,1.5,21.061318359375
2024-06-20 11:00:00,Kipawa,1.5,21.061318359375
2024-06-20 11:30:00,Kipawa,1.5,21.190019531249995
2024-06-20 12:00:00,Kipawa,1.5,21.147119140625
2024-06-20 12:30:00,Kipawa,1.5,21.232919921875002
2024-06-20 13:00:00,Kipawa,1.5,21.232919921875002
2024-06-20 13:30:00,Kipawa,1.5,21.232919921875002
2024-06-20 14:00:00,Kipawa,1.5,21.275820312499995
2024-06-20 14:30:00,Kipawa,1.5,21.533222656249997
2024-06-20 15:00:00,Kipawa,1.5,21.790625
2024-06-20 15:30:00,Kipawa,1.5,21.83352539062499
2024-06-20 16:00:00,Kipawa,1.5,22.005126953124993
2024-06-20 16:30:00,Kipawa,1.5,22.005126953124993
2024-06-20 17:00:00,Kipawa,1.5,21.83352539062499
2024-06-20 17:30:00,Kipawa,1.5,21.919326171874992
2024-06-20 18:00:00,Kipawa,1.5,22.005126953124993
2024-06-20 18:30:00,Kipawa,1.5,21.9622265625
2024-06-20 19:00:00,Kipawa,1.5,22.04802734375
2024-06-20 19:30:00,Kipawa,1.5,21.661923828125005
2024-06-20 20:00:00,Kipawa,1.5,21.533222656249997
2024-06-20 20:30:00,Kipawa,1.5,21.661923828125005
2024-06-20 21:00:00,Kipawa,1.5,21.790625
2024-06-20 21:30:00,Kipawa,1.5,22.005126953124993
2024-06-20 22:00:00,Kipawa,1.5,22.005126953124993
2024-06-20 22:30:00,Kipawa,1.5,22.133828125
2024-06-20 23:00:00,Kipawa,1.5,22.176728515624994
2024-06-20 23:30:00,Kipawa,1.5,22.305429687500002
2024-06-21 00:00:00,Kipawa,1.5,22.391230468750003
2024-06-21 00:30:00,Kipawa,1.5,22.391230468750003
2024-06-21 01:00:00,Kipawa,1.5,22.21962890625
2024-06-21 01:30:00,Kipawa,1.5,22.262529296874995
2024-06-21 02:00:00,Kipawa,1.5,22.391230468750003
2024-06-21 02:30:00,Kipawa,1.5,22.305429687500002
2024-06-21 03:00:00,Kipawa,1.5,22.348330078124995
2024-06-21 03:30:00,Kipawa,1.5,22.391230468750003
2024-06-21 04:00:00,Kipawa,1.5,22.391230468750003
2024-06-21 04:30:00,Kipawa,1.5,22.391230468750003
2024-06-21 05:00:00,Kipawa,1.5,22.133828125
2024-06-21 05:30:00,Kipawa,1.5,22.176728515624994
2024-06-21 06:00:00,Kipawa,1.5,22.176728515624994
2024-06-21 06:30:00,Kipawa,1.5,22.176728515624994
2024-06-21 07:00:00,Kipawa,1.5,22.005126953124993
2024-06-21 07:30:00,Kipawa,1.5,22.176728515624994
2024-06-21 08:00:00,Kipawa,1.5,22.090927734374993
2024-06-21 08:30:00,Kipawa,1.5,22.176728515624994
2024-06-21 09:00:00,Kipawa,1.5,22.090927734374993
2024-06-21 09:30:00,Kipawa,1.5,22.090927734374993
2024-06-21 10:00:00,Kipawa,1.5,21.704824218749998
2024-06-21 10:30:00,Kipawa,1.5,21.447421874999996
2024-06-21 11:00:00,Kipawa,1.5,21.661923828125005
2024-06-21 11:30:00,Kipawa,1.5,21.87642578125
2024-06-21 12:00:00,Kipawa,1.5,22.133828125
2024-06-21 12:30:00,Kipawa,1.5,22.090927734374993
2024-06-21 13:00:00,Kipawa,1.5,22.391230468750003
2024-06-21 13:30:00,Kipawa,1.5,22.519931640624996
2024-06-21 14:00:00,Kipawa,1.5,22.519931640624996
2024-06-21 14:30:00,Kipawa,1.5,22.648632812500004
2024-06-21 15:00:00,Kipawa,1.5,22.734433593750005
2024-06-21 15:30:00,Kipawa,1.5,22.734433593750005
2024-06-21 16:00:00,Kipawa,1.5,22.863134765625
2024-06-21 16:30:00,Kipawa,1.5,22.863134765625
2024-06-21 17:00:00,Kipawa,1.5,22.863134765625
2024-06-21 17:30:00,Kipawa,1.5,22.90603515624999
2024-06-21 18:00:00,Kipawa,1.5,22.777333984374998
2024-06-21 18:30:00,Kipawa,1.5,22.605732421874997
2024-06-21 19:00:00,Kipawa,1.5,22.519931640624996
2024-06-21 19:30:00,Kipawa,1.5,22.648632812500004
2024-06-21 20:00:00,Kipawa,1.5,22.562832031250004
2024-06-21 20:30:00,Kipawa,1.5,22.477031250000003
2024-06-21 21:00:00,Kipawa,1.5,22.348330078124995
2024-06-21 21:30:00,Kipawa,1.5,22.305429687500002
2024-06-21 22:00:00,Kipawa,1.5,22.176728515624994
2024-06-21 22:30:00,Kipawa,1.5,22.176728515624994
2024-06-21 23:00:00,Kipawa,1.5,22.176728515624994
2024-06-21 23:30:00,Kipawa,1.5,22.176728515624994
2024-06-22 00:00:00,Kipawa,1.5,22.176728515624994
2024-06-22 00:30:00,Kipawa,1.5,22.04802734375
2024-06-22 01:00:00,Kipawa,1.5,21.9622265625
2024-06-22 01:30:00,Kipawa,1.5,21.9622265625
2024-06-22 02:00:00,Kipawa,1.5,21.919326171874992
2024-06-22 02:30:00,Kipawa,1.5,21.87642578125
2024-06-22 03:00:00,Kipawa,1.5,21.919326171874992
2024-06-22 03:30:00,Kipawa,1.5,21.87642578125
2024-06-22 04:00:00,Kipawa,1.5,21.919326171874992
2024-06-22 04:30:00,Kipawa,1.5,21.83352539062499
2024-06-22 05:00:00,Kipawa,1.5,21.790625
2024-06-22 05:30:00,Kipawa,1.5,21.790625
2024-06-22 06:00:00,Kipawa,1.5,21.74772460937499
2024-06-22 06:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 07:00:00,Kipawa,1.5,21.704824218749998
2024-06-22 07:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 08:00:00,Kipawa,1.5,21.74772460937499
2024-06-22 08:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 09:00:00,Kipawa,1.5,21.704824218749998
2024-06-22 09:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 10:00:00,Kipawa,1.5,21.87642578125
2024-06-22 10:30:00,Kipawa,1.5,21.87642578125
2024-06-22 11:00:00,Kipawa,1.5,21.87642578125
2024-06-22 11:30:00,Kipawa,1.5,21.9622265625
2024-06-22 12:00:00,Kipawa,1.5,22.005126953124993
2024-06-22 12:30:00,Kipawa,1.5,22.005126953124993
2024-06-22 13:00:00,Kipawa,1.5,22.005126953124993
2024-06-22 13:30:00,Kipawa,1.5,21.919326171874992
2024-06-22 14:00:00,Kipawa,1.5,21.83352539062499
2024-06-22 14:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 15:00:00,Kipawa,1.5,21.790625
2024-06-22 15:30:00,Kipawa,1.5,21.87642578125
2024-06-22 16:00:00,Kipawa,1.5,21.83352539062499
2024-06-22 16:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 17:00:00,Kipawa,1.5,21.790625
2024-06-22 17:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 18:00:00,Kipawa,1.5,21.661923828125005
2024-06-22 18:30:00,Kipawa,1.5,21.661923828125005
2024-06-22 19:00:00,Kipawa,1.5,21.790625
2024-06-22 19:30:00,Kipawa,1.5,21.74772460937499
2024-06-22 20:00:00,Kipawa,1.5,21.74772460937499
2024-06-22 20:30:00,Kipawa,1.5,21.661923828125005
2024-06-22 21:00:00,Kipawa,1.5,21.704824218749998
2024-06-22 21:30:00,Kipawa,1.5,21.619023437499997
2024-06-22 22:00:00,Kipawa,1.5,21.661923828125005
2024-06-22 22:30:00,Kipawa,1.5,21.619023437499997
2024-06-22 23:00:00,Kipawa,1.5,21.533222656249997
2024-06-22 23:30:00,Kipawa,1.5,21.447421874999996
